r, lambda, epoch, N, ncs_res 
0.991658125,1.008973311,9,2,-460
0.991644338,1.008129416,9,2,-460
0.991654351,1.009742726,9,2,-460
0.99165309,1.001990546,9,2,-459.9999983
0.991637398,1.009422207,9,2,-459.4742033
0.991651264,1.014789647,9,2,-427.8854085
0.991694527,1.012308329,9,2,-423.3921154
0.991669774,1.007800192,9,2,-298.9896157
0.991669244,1.004104136,9,2,-298.8283525
0.991670937,1.007480419,9,2,-297.9765416
0.991624857,1.002824588,9,2,-273.392217
0.991626669,1.009811541,9,2,-259.9820028
0.99162942,1.001640682,9,2,-257.6893804
0.99163702,1.000828659,9,2,-162.4516468
0.991630077,1.011708951,9,2,-154.2797657
0.991663894,1.015906055,9,2,-124.1827187
0.991662859,1.013995761,9,2,24.1764311
0.991629338,1.013841501,9,2,25.71258644
0.991636577,1.017254818,9,2,105.4090487
0.991626916,1.009429667,9,2,451.6010052
0.991695243,1.018142915,9,2,535.3048791
0.991603776,1.012379957,9,2,565.3879978
0.99167647,1.013191772,9,2,728.050509
0.991681743,1.00839857,9,2,921.6841012
0.991604133,1.01931457,9,2,969.2030546
0.991653887,1.01842848,9,2,984.9043565
0.991646723,1.014201426,9,2,1143.683502
0.991640331,1.009438566,9,2,1216.036471
0.991675291,1.018950039,9,2,1336.07878
0.991682824,1.009143075,9,2,1422.572235
0.991687036,1.003952387,9,2,1531.474502
0.991608078,1.000748969,9,2,2008.608525
0.991632177,1.004298022,9,2,2110.575341
0.991640754,1.008349076,9,2,2140.929044
0.991603441,1.000837256,9,2,2167.209434
0.991674727,1.013267454,9,2,2638.632385
0.991693528,1.002138851,9,2,2722.037433
0.991620323,1.007148262,9,2,3013.47357
0.99169313,1.007533491,9,2,3033.576273
0.991631923,1.008350087,9,2,3296.695192
0.991617759,1.009408197,9,2,3313.33532
0.991617944,1.010940079,9,2,3532.682485
0.991688397,1.006300375,9,2,3796.822873
0.991697602,1.001678353,9,2,3971.662106
0.991689199,1.013713053,9,2,4910.884599
0.991698488,1.010154618,9,2,4923.114157
0.991660959,1.018642086,9,2,5179.981844
0.991689475,1.006564016,9,2,5397.99535
0.991689088,1.01323419,9,2,5582.976606
0.99168743,1.00963944,9,2,5824.983991
0.991687168,1.003549075,9,2,5894.667856
0.991686217,1.008984071,9,2,6156.786589
0.991611428,1.017352164,9,2,6511.579009
0.991638082,1.015076693,9,2,7928.41575
0.991637659,1.018908334,9,2,12424.4317
