r, lambda, epoch, N, ncs_res 
0.991659726,1.006726866,9,2,-460
0.876605344,1.001652984,9,2,-460
0.991671621,1.015140304,9,2,-460
0.943629149,1.024813435,9,2,-460
0.940476526,1.002533512,9,2,-460
0.910410802,1.007999616,9,2,-459.9999996
0.940404257,1.004120122,9,2,-459.9999993
0.923216886,1.011189347,9,2,-459.9999988
0.968949296,1.015124929,9,2,-459.9999988
0.993162304,1.001172408,9,2,-459.9999923
0.87364597,1.013526815,9,2,-459.9999483
0.991036785,1.024665556,9,2,-459.9998268
0.905125861,1.030416329,9,2,-459.9995569
0.863679669,1.032424134,9,2,-459.9993402
0.980331996,1.031415895,9,2,-459.9993103
0.861198458,1.017597652,9,2,-459.9989365
0.917251148,1.024097935,9,2,-459.998887
0.882213613,1.018443664,9,2,-459.998832
0.935226578,1.011285795,9,2,-459.9973607
0.969231424,1.033296444,9,2,-459.9968806
0.970831767,1.004665884,9,2,-459.9967181
0.863291268,1.034474036,9,2,-459.9951124
0.899621784,1.001468919,9,2,-459.9941183
0.87051836,1.018198226,9,2,-459.9934594
0.976585574,1.024276341,9,2,-459.9929631
0.906691149,1.005554849,9,2,-459.9876853
0.870222912,1.001585432,9,2,-459.9836072
0.915609164,1.031308033,9,2,-459.9814313
0.946317925,1.022046928,9,2,-459.97653
0.877880338,1.00359673,9,2,-459.9727852
0.920143748,1.034838421,9,2,-459.9715514
0.961934785,1.031634812,9,2,-459.9694466
0.932015887,1.021298584,9,2,-459.965005
0.892515136,1.032056731,9,2,-459.9623179
0.965687114,1.01494104,9,2,-459.9546459
0.917708079,1.012189402,9,2,-459.9469874
0.888688787,1.020848199,9,2,-459.9459933
0.885592612,1.003131094,9,2,-459.9374317
0.953815278,1.025930734,9,2,-459.9329661
0.945526491,1.021848762,9,2,-459.9272182
0.996783382,1.02453342,9,2,-459.9179673
0.872212361,1.034363056,9,2,-459.9178724
0.884887243,1.023800606,9,2,-459.913137
0.921426081,1.004600193,9,2,-459.9067129
0.931858806,1.031138109,9,2,-459.9015099
0.934888111,1.022895216,9,2,-459.8999958
0.989737733,1.016311985,9,2,-459.8906139
0.856385759,1.010494336,9,2,-459.8566289
0.906010506,1.006419823,9,2,-459.8496802
0.922563004,1.016022718,9,2,-459.8479201
0.870364555,1.028763702,9,2,-459.8431485
0.883457452,1.024470059,9,2,-459.827267
0.879997813,1.00490077,9,2,-459.7955186
0.896727413,1.020431221,9,2,-459.7764516
0.853609734,1.032173508,9,2,-459.7741959
0.97487824,1.033278461,9,2,-459.7715824
0.981278404,1.033862524,9,2,-459.7512942
0.956121792,1.030863238,9,2,-459.7379633
0.877963224,1.015730457,9,2,-459.7296553
0.851411634,1.01492546,9,2,-459.6480922
0.928591185,1.001775542,9,2,-459.6476537
0.983966368,1.030043353,9,2,-459.6440184
0.934501965,1.005364235,9,2,-459.61719
0.851719021,1.02250397,9,2,-459.5759373
0.914304397,1.003577111,9,2,-459.5538041
0.941661091,1.022586353,9,2,-459.4153389
0.891444066,1.026186527,9,2,-459.4018622
0.87011725,1.025218782,9,2,-459.3765122
